doc_key,question,ground_truth,answer,kw_v3,n_retrieved,retrieval_time,generation_time
doc_A,본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,"본 사업의 사업명은 ""수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역""입니다.",1.0,15,7.565844774246216,8.108646631240845
doc_A,사업기간은 어떻게 되는가?,계약일로부터 4월(120일),"□ 사업기간 : 계약일로부터 4월(120일) * 사업기간은 협의에 의해 조정할 수 있음

(문서 다른 부분에는 ""□ 사업기간 : 계약일로부터 4개월""로도 표기되어 있음)",1.0,15,1.843015193939209,6.0909504890441895
doc_A,사업예산은 얼마인가?,300백만원(V.A.T. 포함),"사업예산은 ""300백만원(V.A.T. 포함)""입니다.",1.0,15,1.8599982261657715,4.358649969100952
doc_A,입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),"입찰방식 및 방법은 ""제한경쟁입찰(협상에 의한 계약)""입니다.",1.0,15,1.6924591064453125,5.8640687465667725
doc_A,現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생","현 수산물 사이버직매장 시스템의 주요 문제점은 다음과 같습니다.

- ""現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계""  
  - 구체적으로 ""수산물 사이버직매장 시스템을 구성하는 H/W(Server, Storage, 네트워크 장비 등), SW(OS, DBMS등)의 내용연수 경과 및 EOS(End Of Service) 상태""임.

- ""신용(금융)사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭* 부족 문제""  
  - 참고 문구: ""스위치 대역폭은 1GB이며, 실가능 대역폭은 300MB 수준"".",0.68,15,2.1317849159240723,15.697600603103638
doc_A,기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진","기존 수산물 사이버직매장의 총 사업비는 ""2,996백만원(자담 50%, 국고보조 50%)""이며, 추진 단계는 ""1단계(‘14. 6월 ~ ‘15. 5월), 2단계(‘15. 6월 ~ ‘15. 12월)""입니다.",0.8181818181818182,15,2.016433000564575,8.653591871261597
doc_B,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),"국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은 ""계약체결일~ 2024.11.15.(금)""입니다.",1.0,15,1.5055408477783203,5.8061957359313965
doc_B,NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)","사업금액 : 50,000,000원 (VAT포함)",1.0,15,2.115644693374634,3.312664031982422
doc_B,NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발","고도화 내용으로 요구하는 항목들은 다음과 같습니다:

1 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화
2 사용자 편의성(UI/UX)을 고려한 웹사이트 전면 개편
3 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축
4 사용자 로그인 및 관리 기능 신규 개발
5 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발",1.0,15,1.75834059715271,6.177119731903076
doc_B,NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)","사업명: ""국가교육과정정보센터(NCIC)시스템 운영 및 개선""

유지보수 내용(원문 그대로):
1. ""웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등)""
2. ""사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)""

추가(요구사항 PSR-001 관련 원문 사항):
- ""보수 및 하자보수 기간은최종 검수완료 후 1년으로 함""
- ""하자담보책임기간은 사업을 종료한 날부터 1년 이내의 범위에서 발생한 하자에 대하여 담보책임이 있다.""",1.0,15,1.841968059539795,17.444517374038696
