config,run_id,file,group,kw_v2,faithfulness,context_recall,latency_sec,ingestion_success,timeout_rate,fallback_rate,p95_latency_sec
A_single_pipeline,1,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,,,,39.22612675697525,0.6052496133326537,0.3947503866673463,0.07737004640008155,42.80049572376276
B_rule_single_route,1,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,,,,41.72612675697525,0.5596858819259924,0.4403141180740075,0.0828376941688809,46.25049572376276
C_rule_multi_route,1,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,,,,41.72612675697525,0.5596858819259924,0.4403141180740075,0.0828376941688809,46.25049572376276
A_single_pipeline,1,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,1,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,,,,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,1,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,,,,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,1,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,1,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,1,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,1,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,1,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,,,,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,1,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,,,,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,1,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,1,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,,,,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,1,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,,,,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,1,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,,,,30.46828455787021,0.786368264852713,0.2136317351472869,0.06813580821767443,30.859751586931953
B_rule_single_route,1,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,,,,32.96828455787021,0.7531849499563699,0.24681505004363014,0.07211780600523562,33.35975158693196
C_rule_multi_route,1,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,,,,35.96828455787021,0.709028736274876,0.29097126372512405,0.15741655164701487,36.35975158693196
A_single_pipeline,1,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,,,,41.20051202289624,0.5572352217952496,0.4427647782047504,0.08313177338457005,42.80049572376276
B_rule_single_route,1,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,,,,44.70051202289624,0.4918629179062154,0.5081370820937846,0.09097644985125415,46.25049572376276
C_rule_multi_route,1,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,,,,44.70051202289624,0.4918629179062154,0.5081370820937846,0.09097644985125415,46.25049572376276
A_single_pipeline,1,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,,,,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,1,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,,,,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,1,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,,,,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,1,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,,,,29.30507605881841,0.8052588274864677,0.19474117251353232,0.06586894070162388,30.859751586931953
B_rule_single_route,1,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,,,,31.80507605881841,0.7741670995841595,0.22583290041584045,0.06959994804990086,33.35975158693196
C_rule_multi_route,1,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,,,,34.80507605881841,0.7324311435749145,0.2675688564250856,0.15460826277101028,36.35975158693196
A_single_pipeline,1,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,,,,31.090662693044198,0.7757265017912307,0.22427349820876935,0.06941281978505232,30.859751586931953
B_rule_single_route,1,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,,,,33.590662693044194,0.7414337243893607,0.2585662756106393,0.07352795307327671,33.35975158693196
C_rule_multi_route,1,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,,,,36.590662693044194,0.696023648599529,0.303976351400471,0.15897716216805652,36.35975158693196
A_single_pipeline,1,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,central,,,,28.777692976768005,0.8133962050438888,0.18660379495611124,0.06489245539473334,30.859751586931953
