config,run,doc_key,doc_type,question,ground_truth,answer,kw_v2,category,difficulty,n_retrieved,retrieval_time,generation_time,total_time,timeout
A_single_pipeline,0,doc_A,text_only,본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,1.0,general,easy,15,5.152689218521118,7.316238641738892,12.46892786026001,False
A_single_pipeline,0,doc_A,text_only,사업기간은 어떻게 되는가?,계약일로부터 4월(120일),"□ 사업기간 : 계약일로부터 4월(120일) * 사업기간은 협의에 의해 조정할 수 있음

□ 사업기간 : 계약일로부터 4개월",1.0,schedule,easy,15,0.6671347618103027,7.241057872772217,7.9081926345825195,False
A_single_pipeline,0,doc_A,text_only,사업예산은 얼마인가?,300백만원(V.A.T. 포함),□ 사업예산 : 300백만원(V.A.T. 포함),1.0,budget,easy,15,0.7897801399230957,4.30427360534668,5.094053745269775,False
A_single_pipeline,0,doc_A,text_only,입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),제한경쟁입찰(협상에 의한 계약),1.0,procurement,easy,15,0.9298095703125,5.5021138191223145,6.4319233894348145,False
A_single_pipeline,0,doc_A,text_only,現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생","- ""現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계"" (H/W, SW의 내용연수 경과 및 EOS 상태)  
- ""신용(금융)사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭* 부족 문제""  
  - ""스위치 대역폭은 1GB이며, 실가능 대역폭은 300MB 수준""  
- ""SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생""  
- ""B2C, B2B 각 채널의 분절적 운영으로 단순·반복 업무 과다발생에 따른 업무효율 저하"" 및 ""산재적으로 개별 운영하는 회원조합 온라인몰에 대한 통합 방안 필요""  
- ""다양한 디지털 마케팅 기술 활용 불가로 고객 증대 및 유지 한계""  
- ""현행 데이터 구조 문제로 인해 반복되는 문제"" 및 데이터 이관·정제 관련 문제 (원천 시스템의 오류 데이터 및 이관 후 오류 데이터 정제 필요)",0.9166666666666666,technical,medium,15,0.8366446495056152,15.46304988861084,16.299694538116455,False
A_single_pipeline,0,doc_A,text_only,기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진","現 수산물 사이버직매장 구축 개요에 따르면 총 사업비는 2,996백만원(자담 50%, 국고보조 50%)이며, 사업기간(추진 단계)은 1단계(‘14. 6월 ~ ‘15. 5월), 2단계(‘15. 6월 ~ ‘15. 12월)입니다.",0.625,budget,medium,15,0.8407866954803467,6.518805027008057,7.359591722488403,False
A_single_pipeline,0,doc_B,table_simple,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),사업기간 : 계약체결일 ~ 2024. 11. 15.(금),0.5,schedule,easy,15,0.8201749324798584,4.0688796043396,4.889054536819458,False
A_single_pipeline,0,doc_B,table_simple,NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)","국가교육과정정보센터(NCIC) 사업은 ""20억원 미만 사업""입니다.",0.0,budget,easy,15,0.6135640144348145,7.832332611083984,8.445896625518799,False
A_single_pipeline,0,doc_B,table_simple,NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발","ᆞ 고도화 내용
1 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화
2 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편
3 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축
4 사용자 로그인 및 관리 기능 신규 개발
5 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발",0.8823529411764706,technical,medium,15,1.4222626686096191,7.140719175338745,8.562981843948364,False
A_single_pipeline,0,doc_B,table_simple,NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)","국가교육과정정보센터(NCIC) 사업의 유지보수 내용은
1 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등)
2 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",0.9473684210526315,technical,medium,15,1.2760357856750488,6.826143026351929,8.102178812026978,False
A_single_pipeline,0,doc_B,table_simple,NCIC 사업의 추진 목표는 무엇인가?,국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,추진 목표: 국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,1.0,general,easy,15,0.6336884498596191,5.943208456039429,6.576896905899048,False
A_single_pipeline,0,doc_B,table_simple,NCIC 사업의 관련 법규는 무엇인가?,국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2,"다음과 같습니다.

- 「소프트웨어 진흥법」 제43조, 같은 법 시행령 제35조 내지 제37조  
- 「소프트웨어사업 계약 및 관리감독에 관한 지침」 제5조, 제6조  
- 「소프트웨어 진흥법」 제48조(중소 소프트웨어사업자의 사업참여 지원) 및 중소 소프트웨어사업자의 사업 참여 지원에 관한 지침 제2조, 제3조  
- 「소프트웨어 진흥법」 제50조, 같은 법 시행령 제47조 제1항 제2호, 제3호  
- 「국가를 당사자로 하는 계약에 관한 법률」 및 「국가를 당사자로 하는 계약에 관한 법률 시행령」 제12조, 제76조, 동법 시행규칙 제14조  
- 「국가종합전자조달시스템입찰참가자격등록규정」  
- ‘공공기관의 정보공개에 관한 법률’ 제9조 제1항  
- ‘개인정보호법’ 제2조 제1호  
- ‘보안업무규정’ 제4조  
- 용역입찰유의서 제12조  
- 중소기업청고시 ‘중소기업자간 경쟁제품 직접생산확인기준’",0.8888888888888888,compliance,hard,15,0.7624576091766357,24.193507432937622,24.955965042114258,False
A_single_pipeline,0,doc_C,table_complex,차세대 응급의료 상황관리시스템 구축 사업의 사업예산은 얼마인가?,"금일십사억원정(￦1,400,000,000원, VAT 포함)","금일십사억원정 (₩1,400,000,000원, VAT포함)",0.5,budget,easy,15,0.7348134517669678,4.313328504562378,5.048141956329346,False
A_single_pipeline,0,doc_C,table_complex,차세대 응급의료 상황관리시스템의 사업기간은?,계약일로부터 2024년 12월 31일까지,계약일로부터 2024년 12월 31일까지,1.0,schedule,easy,15,0.9008984565734863,2.918001651763916,3.8189001083374023,False
