config,run,doc_key,doc_type,question,ground_truth,answer,kw_v2,chunk_size,pool_size,alpha,category,difficulty,n_retrieved,retrieval_time,generation_time,total_time,timeout
c300,0,doc_A,text_only,본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,1.0,300,50,0.7,general,easy,15,7.707928895950317,5.532482385635376,13.240411281585693,False
c300,0,doc_A,text_only,사업기간은 어떻게 되는가?,계약일로부터 4월(120일),"문맥에 따라 여러 표기가 있습니다.

- 3. 추진일정: ""□ 사업기간 : 계약일로부터 4개월""  
- 1. 사업개요: ""□ 사업기간 : 계약일로부터 4월(120일) * 사업기간은 협의에 의해 조정할 수 있음""  
- 추진일정 표(전체): ""계 | 14개월"" (단계별: ""1단계 | ‘24. 6.~’24.10(4개월)"" / ""2단계 | ‘24.12~’25.10(10개월)"")",1.0,300,50,0.7,schedule,easy,15,1.665147304534912,15.20128607749939,16.8664333820343,False
c300,0,doc_A,text_only,사업예산은 얼마인가?,300백만원(V.A.T. 포함),"사업예산은 4,800 내외입니다.",0.0,300,50,0.7,budget,easy,15,1.719792127609253,10.145986318588257,11.86577844619751,False
c300,0,doc_A,text_only,입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),제한경쟁입찰(협상에 의한 계약),1.0,300,50,0.7,procurement,easy,15,1.685776710510254,4.908410549163818,6.594187259674072,False
c300,0,doc_A,text_only,現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생","- ""現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계"" — 즉 ""H/W(Server, Storage, 네트워크 장비 등), SW(OS, DBMS등)의 내용연수 경과 및 EOS(End Of Service) 상태""
- ""신용(금융)사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭* 부족 문제에 대한 개선 필요""
  - ""* 스위치 대역폭은 1GB이며, 실가능 대역폭은 300MB 수준""",0.625,300,50,0.7,technical,medium,15,2.629903554916382,11.432326078414917,14.062229633331299,False
c300,0,doc_A,text_only,기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진","총 사업비 : 2,996백만원(자담 50%, 국고보조 50%)
사업기간 : 1단계(‘14. 6월 ~ ‘15. 5월), 2단계(‘15. 6월 ~ ‘15. 12월)

추가(단계별 개발비) : 1단계 | LG CNS | 1,796 ; 2단계 | 신세계아이앤씨 | 1,200",0.5,300,50,0.7,budget,medium,15,1.838141918182373,11.747565984725952,13.585707902908325,False
c300,0,doc_B,table_simple,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),계약체결일~ 2024.11.15.(금),1.0,300,50,0.7,schedule,easy,15,1.6501879692077637,7.622453212738037,9.2726411819458,False
c300,0,doc_B,table_simple,NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)","50,000,000원 (VAT포함)",1.0,300,50,0.7,budget,easy,15,2.0140552520751953,5.189973592758179,7.204028844833374,False
c300,0,doc_B,table_simple,NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발","고도화 내용으로 요구하는 항목은 다음과 같습니다:
1 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화
2 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편
3 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축
4 사용자 로그인 및 관리 기능 신규 개발
5 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발",0.8823529411764706,300,50,0.7,technical,medium,15,1.9537675380706787,10.013938665390015,11.967706203460693,False
c300,0,doc_B,table_simple,NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)","ᆞ 유지보수 내용
1 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등)
2 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",0.9473684210526315,300,50,0.7,technical,medium,15,1.8136098384857178,10.32132601737976,12.134935855865479,False
c300,0,doc_B,table_simple,NCIC 사업의 추진 목표는 무엇인가?,국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,추진 목표: 국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,1.0,300,50,0.7,general,easy,15,1.7527577877044678,5.854970932006836,7.607728719711304,False
c300,0,doc_B,table_simple,NCIC 사업의 관련 법규는 무엇인가?,국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2,국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2,1.0,300,50,0.7,compliance,hard,15,1.7201130390167236,3.337219476699829,5.057332515716553,False
