config,run,doc_key,doc_type,question,ground_truth,answer,kw_v2,kw_v3,category,difficulty,n_retrieved,retrieval_time,generation_time,total_time,q_type,retry_count
ref_v2,0,doc_A,text_only,본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,"본 사업의 사업명은 ""수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역""입니다.",1.0,1.0,general,easy,15,1.7685000896453855,4.489957571029663,6.258457660675049,direct,0
ref_v2,0,doc_A,text_only,사업기간은 어떻게 되는가?,계약일로부터 4월(120일),"'수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역'의 사업기간은 ""계약일로부터 4월(120일) * 사업기간은 협의에 의해 조정할 수 있음""이며, 문서의 다른 부분에는 ""사업기간 : 계약일로부터 4개월""로도 표기되어 있습니다.",1.0,1.0,schedule,easy,15,1.7707905769348145,14.801633358001707,16.572423934936523,list,0
ref_v2,0,doc_A,text_only,사업예산은 얼마인가?,300백만원(V.A.T. 포함),"사업예산은 ""300백만원(V.A.T. 포함)""입니다.",1.0,1.0,budget,easy,15,1.8116044998168943,4.606955051422119,6.418559551239014,direct,0
ref_v2,0,doc_A,text_only,입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),입찰방식 및 방법 : 제한경쟁입찰(협상에 의한 계약),1.0,1.0,procurement,easy,15,1.6542367935180664,4.875835180282593,6.530071973800659,direct,0
ref_v2,0,doc_A,text_only,現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생","- ""現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계""
  - 세부: ""H/W(Server, Storage, 네트워크 장비 등), SW(OS, DBMS등)의 내용연수 경과 및 EOS(End Of Service) 상태""

- ""신용(금융)사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭* 부족 문제""
  - 비고: ""* 스위치 대역폭은 1GB이며, 실가능 대역폭은 300MB 수준""",0.625,0.68,technical,medium,15,2.054915189743042,11.693508625030518,13.74842381477356,list,0
ref_v2,0,doc_A,text_only,기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진","기존 수산물 사이버직매장 총 사업비는 ""총 사업비 : 2,996백만원(자담 50%, 국고보조 50%)""이며, 추진 단계는 ""사업기간 : 1단계(‘14. 6월 ~ ‘15. 5월), 2단계(‘15. 6월 ~ ‘15. 12월)""입니다.  
추진별 개발비는 ""1단계 | LG CNS | 1,796"" 및 ""2단계 | 신세계아이앤씨 | 1,200""로 합계 2,996백만원입니다.",0.625,0.8181818181818182,budget,medium,15,1.8657610416412356,21.157225847244263,23.022986888885494,list,0
ref_v2,0,doc_B,table_simple,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),"국가교육과정정보센터(NCIC)시스템 운영 및 개선 사업의 사업기간은 ""계약체결일~ 2024.11.15.(금)""입니다.",1.0,1.0,schedule,easy,15,1.5940637588500977,14.710232496261597,16.304296255111694,direct,0
ref_v2,0,doc_B,table_simple,NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)","국가교육과정정보센터(NCIC)시스템 운영 및 개선 사업의 사업금액은 50,000,000원 (VAT포함)입니다.",1.0,1.0,budget,easy,15,1.9535396099090576,6.636612892150879,8.590152502059937,direct,0
ref_v2,0,doc_B,table_simple,NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발","고도화 내용은 다음과 같습니다.
1 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화
2 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편
3 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축
4 사용자 로그인 및 관리 기능 신규 개발
5 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발",0.8823529411764706,1.0,technical,medium,15,1.9026987552642824,7.219412088394165,9.122110843658447,list,0
ref_v2,0,doc_B,table_simple,NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)","국가교육과정정보센터(NCIC) 웹사이트 고도화 및 유지보수

ᆞ 유지보수 내용
1 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등)
2 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",0.9473684210526316,1.0,technical,medium,15,1.823241949081421,17.401251792907715,19.224493741989136,list,0
ref_v2,0,doc_B,table_simple,NCIC 사업의 추진 목표는 무엇인가?,국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,추진 목표: 국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,1.0,1.0,general,easy,15,1.80966591835022,5.081334829330444,6.891000747680664,direct,0
